"Final Schedule: Sicilian Games 2025-26
Box Cricket: Venue Shaishya Pulse Arena
#BNIKhelega",,,,,,,,,,,,
Sr No.,Date,Day,Duration,Reporting Time,Start Time,End Time,Group,Group - Chapter,vs,Group,Group - Chapter,
1,26-Dec-25,Friday,60 mins,5:30 PM,6:00 PM,7:00 PM,A1,Oliver -A1,vs,A2,Nikolaus -A2,
2,26-Dec-25,Friday,60 mins,6:30 PM,7:00 PM,8:00 PM,C1,Makarios -C1,vs,C2,Faustus & Zeus -C2,
3,26-Dec-25,Friday,60 mins,7:30 PM,8:00 PM,9:00 PM,E1,Magnus -E1,vs,E2,Anthropos -E2,
4,26-Dec-25,Friday,60 mins,8:30 PM,9:00 PM,10:00 PM,G1,Helenus -G1,vs,G2,Athena -G2,
5,26-Dec-25,Friday,60 mins,9:30 PM,10:00 PM,11:00 PM,I1,Ganicus -I1,vs,I2,Romulus -I2,
6,26-Dec-25,Friday,60 mins,10:30 PM,11:00 PM,12:00 AM,K1,Colossus -K1,vs,K2,Artemisia -K2,
7,26-Dec-25,Friday,60 mins,5:30 PM,6:00 PM,7:00 PM,B1,Maximus -B1,vs,B2,Mythos -B2,
8,26-Dec-25,Friday,60 mins,6:30 PM,7:00 PM,8:00 PM,D1,Atlas -D1,vs,D2,Osiris -D2,
9,26-Dec-25,Friday,60 mins,7:30 PM,8:00 PM,9:00 PM,F1,Roxanne -F1,vs,F2,Rubens & Obsidian -F2,
10,26-Dec-25,Friday,60 mins,8:30 PM,9:00 PM,10:00 PM,H1,Dominus -H1,vs,H2,Ares & Acreseus -H2,
11,26-Dec-25,Friday,60 mins,9:30 PM,10:00 PM,11:00 PM,J1,Hercules -J1,vs,J2,Eros -J2,
12,26-Dec-25,Friday,60 mins,10:30 PM,11:00 PM,12:00 AM,A1,Oliver -A1,vs,A4,Plutus & Crios -A4,
,,,,,,,,,,,,
13,27-Dec-25,Saturday,60 mins,5:30 PM,6:00 PM,7:00 PM,A2,Nikolaus -A2,vs,A3,Raphael -A3,
14,27-Dec-25,Saturday,60 mins,6:30 PM,7:00 PM,8:00 PM,B2,Mythos -B2,vs,B3,Hades & Anatolius -B3,
15,27-Dec-25,Saturday,60 mins,7:30 PM,8:00 PM,9:00 PM,C2,Faustus & Zeus -C2,vs,C3,Prometheus -C3,
16,27-Dec-25,Saturday,60 mins,8:30 PM,9:00 PM,10:00 PM,D2,Osiris -D2,vs,D3,Kronos -D3,
17,27-Dec-25,Saturday,60 mins,9:30 PM,10:00 PM,11:00 PM,E2,Anthropos -E2,vs,E3,Hera & Petronius -E3,
18,27-Dec-25,Saturday,60 mins,10:30 PM,11:00 PM,12:00 AM,F2,Rubens & Obsidian -F2,vs,F3,Petra -F3,
19,27-Dec-25,Saturday,60 mins,5:30 PM,6:00 PM,7:00 PM,G2,Athena -G2,vs,G3,Zenobia -G3,
20,27-Dec-25,Saturday,60 mins,6:30 PM,7:00 PM,8:00 PM,H2,Ares & Acreseus -H2,vs,H3,Olympus -H3,
21,27-Dec-25,Saturday,60 mins,7:30 PM,8:00 PM,9:00 PM,I2,Romulus -I2,vs,I3,Lazarus -I3,
22,27-Dec-25,Saturday,60 mins,8:30 PM,9:00 PM,10:00 PM,J2,Eros -J2,vs,J3,Vinci -J3,
23,27-Dec-25,Saturday,60 mins,9:30 PM,10:00 PM,11:00 PM,K2,Artemisia -K2,vs,K3,Poseidon -K3,
24,27-Dec-25,Saturday,60 mins,10:30 PM,11:00 PM,12:00 AM,B1,Maximus -B1,vs,B4,Kleon -B4,
,,,,,,,,,,,,
25,28-Dec-25,Sunday,60 mins,5:30 PM,6:00 PM,7:00 PM,C1,Makarios -C1,vs,C3,Prometheus -C3,
26,28-Dec-25,Sunday,60 mins,6:30 PM,7:00 PM,8:00 PM,A1,Oliver -A1,vs,A3,Raphael -A3,
27,28-Dec-25,Sunday,60 mins,7:30 PM,8:00 PM,9:00 PM,E1,Magnus -E1,vs,E3,Hera & Petronius -E3,
28,28-Dec-25,Sunday,60 mins,8:30 PM,9:00 PM,10:00 PM,G1,Helenus -G1,vs,G3,Zenobia -G3,
29,28-Dec-25,Sunday,60 mins,9:30 PM,10:00 PM,11:00 PM,I1,Ganicus -I1,vs,I3,Lazarus -I3,
30,28-Dec-25,Sunday,60 mins,10:30 PM,11:00 PM,12:00 AM,B1,Maximus -B1,vs,B3,Hades & Anatolius -B3,
31,28-Dec-25,Sunday,60 mins,5:30 PM,6:00 PM,7:00 PM,D1,Atlas -D1,vs,D3,Kronos -D3,
32,28-Dec-25,Sunday,60 mins,6:30 PM,7:00 PM,8:00 PM,F1,Roxanne -F1,vs,F3,Petra -F3,
