"Final Schedule: Sicilian Games 2025-26
Football: Shaishya Pulse Arena
#BNIKhelega",,,,,,,,,,,
Sr,Date,Day,Duration,Reporting Time,Start Time,End Time,Group,Group - Chapter,vs,Group,Group - Chapter
,,,,,,,,,,,
1,22-Dec-25,Monday,40mins,5:30 PM,6:00 PM,6:40 PM,A1,Olympus -A1,vs,A2,Dominus -A2
2,22-Dec-25,Monday,40mins,6:10 PM,6:40 PM,7:20 PM,B1,Anthropos -B1,vs,B2,Hera & Petronius -B2
3,22-Dec-25,Monday,40mins,6:50 PM,7:20 PM,8:00 PM,C1,Makarios -C1,vs,C2,Maximus -C2
4,22-Dec-25,Monday,40mins,7:30 PM,8:00 PM,8:40 PM,D1,Kronos -D1,vs,D2,Ares & Acreseus -D2
5,22-Dec-25,Monday,40mins,8:10 PM,8:40 PM,9:20 PM,A3,Artemisia -A3,vs,A4,Hades & Anatolius -A4
6,22-Dec-25,Monday,40mins,8:50 PM,9:20 PM,10:00 PM,B3,Zenobia -B3,vs,B4,Vinci -B4
7,22-Dec-25,Monday,40mins,9:30 PM,10:00 PM,10:40 PM,C3,Prometheus -C3,vs,C4,Helenus -C4
8,22-Dec-25,Monday,40mins,10:10 PM,10:40 PM,11:20 PM,D3,Plutus & Crios -D3,vs,D4,Petra -D4
,,,,,,,,,,,
10,23-Dec-25,Tuesday,40mins,5:30 PM,6:00 PM,6:40 PM,A1,Olympus -A1,vs,A3,Artemisia -A3
11,23-Dec-25,Tuesday,40mins,6:10 PM,6:40 PM,7:20 PM,B1,Anthropos -B1,vs,B3,Zenobia -B3
12,23-Dec-25,Tuesday,40mins,6:50 PM,7:20 PM,8:00 PM,C1,Makarios -C1,vs,C3,Prometheus -C3
13,23-Dec-25,Tuesday,40mins,7:30 PM,8:00 PM,8:40 PM,D1,Kronos -D1,vs,D3,Plutus & Crios -D3
14,23-Dec-25,Tuesday,40mins,8:10 PM,8:40 PM,9:20 PM,A2,Dominus -A2,vs,A4,Hades & Anatolius -A4
15,23-Dec-25,Tuesday,40mins,8:50 PM,9:20 PM,10:00 PM,B2,Hera & Petronius -B2,vs,B4,Vinci -B4
16,23-Dec-25,Tuesday,40mins,9:30 PM,10:00 PM,10:40 PM,C2,Maximus -C2,vs,C4,Helenus -C4
17,23-Dec-25,Tuesday,40mins,10:10 PM,10:40 PM,11:20 PM,D2,Ares & Acreseus -D2,vs,D4,Petra -D4
,,,,,,,,,,,
19,24-Dec-25,Wednesday,40mins,5:30 PM,6:00 PM,6:40 PM,A1,Olympus -A1,vs,A4,Hades & Anatolius -A4
20,24-Dec-25,Wednesday,40mins,6:10 PM,6:40 PM,7:20 PM,B1,Anthropos -B1,vs,B4,Vinci -B4
21,24-Dec-25,Wednesday,40mins,6:50 PM,7:20 PM,8:00 PM,C1,Makarios -C1,vs,C4,Helenus -C4
22,24-Dec-25,Wednesday,40mins,7:30 PM,8:00 PM,8:40 PM,D1,Kronos -D1,vs,D4,Petra -D4
23,24-Dec-25,Wednesday,40mins,8:10 PM,8:40 PM,9:20 PM,A2,Dominus -A2,vs,A3,Artemisia -A3
24,24-Dec-25,Wednesday,40mins,8:50 PM,9:20 PM,10:00 PM,B2,Hera & Petronius -B2,vs,B3,Zenobia -B3
25,24-Dec-25,Wednesday,40mins,9:30 PM,10:00 PM,10:40 PM,C2,Maximus -C2,vs,C3,Prometheus -C3
26,24-Dec-25,Wednesday,40mins,10:10 PM,10:40 PM,11:20 PM,D2,Ares & Acreseus -D2,vs,D3,Plutus & Crios -D3
,,,,,,,,,,,
Quarter Finals,,,,,,,,,,,
Q1,7-Jan-26,Wednesday,40mins,6:30 PM,7:00 PM,7:40 PM,Q1,#N/A,vs,Q8,#N/A
Q2,7-Jan-26,Wednesday,40mins,7:10 PM,7:40 PM,8:20 PM,Q2,#N/A,vs,Q7,#N/A
Q3,7-Jan-26,Wednesday,40mins,7:50 PM,8:20 PM,9:00 PM,Q3,#N/A,vs,Q6,#N/A
Q4,7-Jan-26,Wednesday,40mins,8:30 PM,9:00 PM,9:40 PM,Q4,#N/A,vs,Q5,#N/A
Semi Finals,,,,,,,,,,,
S1,7-Jan-26,Wednesday,40mins,9:30 PM,10:00 PM,10:40 PM,Q1,#N/A,vs,Q4,#N/A
S2,7-Jan-26,Wednesday,40mins,10:10 PM,10:40 PM,11:20 PM,Q2,#N/A,vs,Q3,#N/A
3rd & Finale,,,,,,,,,,,
3rd Place,8-Jan-25,Thursday,40mins,9:30 PM,10:00 PM,10:40 PM,,,vs,,
Finale,8-Jan-25,Thursday,40mins,10:10 PM,10:40 PM,11:20 PM,,,vs,,
