,,,,,,,,,,,
"Final Schedule: Sicilian Games 2025-26
Volley Ball: Venue Veer Savarkar
#BNIKhelega",,,,,,,,,,,
Sr No.,29-Dec-25,Day,Duration,Reporting Time,Start Time,End Time,Group,Group - Chapter,vs,Group,Group - Chapter
1,29-Dec-25,Monday,30 mins,5:00 PM,5:30 PM,6:00 PM,A1,Oliver -A1,vs,A2,Athena -A2
2,29-Dec-25,Monday,30 mins,5:30 PM,6:00 PM,6:30 PM,B1,Kronos -B1,vs,B2,Plutus & Crios -B2
3,29-Dec-25,Monday,30 mins,6:00 PM,6:30 PM,7:00 PM,C1,Anthropos -C1,vs,C2,Zenobia -C2
4,29-Dec-25,Monday,30 mins,6:30 PM,7:00 PM,7:30 PM,D1,Olympus -D1,vs,D2,Hercules -D2
5,29-Dec-25,Monday,30 mins,7:00 PM,7:30 PM,8:00 PM,E1,Maximus -E1,vs,E2,Helenus -E2
6,29-Dec-25,Monday,30 mins,7:30 PM,8:00 PM,8:30 PM,F1,Makarios -F1,vs,F3,Magnus -F3
7,29-Dec-25,Monday,30 mins,8:00 PM,8:30 PM,9:00 PM,G1,Atlas -G1,vs,G2,Hades & Anatolius -G2
8,29-Dec-25,Monday,30 mins,8:30 PM,9:00 PM,9:30 PM,H1,Ares & Acreseus -H1,vs,H2,Prometheus -H2
9,29-Dec-25,Monday,30 mins,9:00 PM,9:30 PM,10:00 PM,I1,Roxanne -I1,vs,I2,Nikolaus -I2
10,29-Dec-25,Monday,30 mins,9:30 PM,10:00 PM,10:30 PM,J1,Vinci -J1,vs,J2,Faustus & Zeus -J2
11,29-Dec-25,Monday,30 mins,10:00 PM,10:30 PM,11:00 PM,K1,Petra -K1,vs,K2,Colossus -K2
12,29-Dec-25,Monday,30 mins,10:30 PM,11:00 PM,11:30 PM,A1,Oliver -A1,vs,A4,Poseidon -A4
13,29-Dec-25,Monday,30 mins,11:00 PM,11:30 PM,12:00 AM,B1,Kronos -B1,vs,B4,Ganicus -B4
,,,,,,,,,,,
14,30-Dec-25,Tuesday,30 mins,5:00 PM,5:30 PM,6:00 PM,A1,Oliver -A1,vs,A3,Artemisia -A3
15,30-Dec-25,Tuesday,30 mins,5:30 PM,6:00 PM,6:30 PM,B1,Kronos -B1,vs,B3,Romulus -B3
16,30-Dec-25,Tuesday,30 mins,6:00 PM,6:30 PM,7:00 PM,C1,Anthropos -C1,vs,C3,Rubens & Obsidian -C3
17,30-Dec-25,Tuesday,30 mins,6:30 PM,7:00 PM,7:30 PM,D1,Olympus -D1,vs,D3,Osiris -D3
18,30-Dec-25,Tuesday,30 mins,7:00 PM,7:30 PM,8:00 PM,E1,Maximus -E1,VS,E3,Eros -E3
19,30-Dec-25,Tuesday,30 mins,7:30 PM,8:00 PM,8:30 PM,F1,Makarios -F1,vs,F2,Kleon -F2
20,30-Dec-25,Tuesday,30 mins,8:00 PM,8:30 PM,9:00 PM,G1,Atlas -G1,vs,G3,Mythos -G3
21,30-Dec-25,Tuesday,30 mins,8:30 PM,9:00 PM,9:30 PM,H1,Ares & Acreseus -H1,vs,H3,Raphael -H3
22,30-Dec-25,Tuesday,30 mins,9:00 PM,9:30 PM,10:00 PM,I1,Roxanne -I1,vs,I3,Hera & Petronius -I3
23,30-Dec-25,Tuesday,30 mins,9:30 PM,10:00 PM,10:30 PM,J1,Vinci -J1,vs,J3,Dominus -J3
24,30-Dec-25,Tuesday,30 mins,10:00 PM,10:30 PM,11:00 PM,K1,Petra -K1,vs,K3,Lazarus -K3
25,30-Dec-25,Tuesday,30 mins,10:30 PM,11:00 PM,11:30 PM,A2,Athena -A2,vs,A4,Poseidon -A4
26,30-Dec-25,Tuesday,30 mins,11:00 PM,11:30 PM,12:00 AM,B2,Plutus & Crios -B2,vs,B4,Ganicus -B4
,,,,,,,,,,,
27,3-Jan-26,Saturday,30 mins,5:00 PM,5:30 PM,6:00 PM,A2,Athena -A2,vs,A3,Artemisia -A3
28,3-Jan-26,Saturday,30 mins,5:30 PM,6:00 PM,6:30 PM,B2,Plutus & Crios -B2,vs,B3,Romulus -B3
29,3-Jan-26,Saturday,30 mins,6:00 PM,6:30 PM,7:00 PM,C2,Zenobia -C2,vs,C3,Rubens & Obsidian -C3
30,3-Jan-26,Saturday,30 mins,6:30 PM,7:00 PM,7:30 PM,D2,Hercules -D2,vs,D3,Osiris -D3
31,3-Jan-26,Saturday,30 mins,7:00 PM,7:30 PM,8:00 PM,E2,Helenus -E2,vs,E3,Eros -E3
32,3-Jan-26,Saturday,30 mins,7:30 PM,8:00 PM,8:30 PM,F2,Kleon -F2,vs,F3,Magnus -F3
33,3-Jan-26,Saturday,30 mins,8:00 PM,8:30 PM,9:00 PM,G2,Hades & Anatolius -G2,vs,G3,Mythos -G3
34,3-Jan-26,Saturday,30 mins,8:30 PM,9:00 PM,9:30 PM,H2,Prometheus -H2,vs,H3,Raphael -H3
35,3-Jan-26,Saturday,30 mins,9:00 PM,9:30 PM,10:00 PM,I2,Nikolaus -I2,vs,I3,Hera & Petronius -I3
36,3-Jan-26,Saturday,30 mins,9:30 PM,10:00 PM,10:30 PM,J2,Faustus & Zeus -J2,vs,J3,Dominus -J3
37,3-Jan-26,Saturday,30 mins,10:00 PM,10:30 PM,11:00 PM,K2,Colossus -K2,vs,K3,Lazarus -K3
38,3-Jan-26,Saturday,30 mins,10:30 PM,11:00 PM,11:30 PM,A3,Artemisia -A3,vs,A4,Poseidon -A4
39,3-Jan-26,Saturday,30 mins,11:00 PM,11:30 PM,12:00 AM,B3,Romulus -B3,vs,B4,Ganicus -B4
Top 16,,,,,,,,,,,
40,4-Jan-26,Sunday,30 mins,5:00 PM,5:30 PM,6:00 PM,1,,vs,16,
41,4-Jan-26,Sunday,30 mins,5:30 PM,6:00 PM,6:30 PM,2,,vs,15,
42,4-Jan-26,Sunday,30 mins,6:00 PM,6:30 PM,7:00 PM,3,,vs,14,
43,4-Jan-26,Sunday,30 mins,6:30 PM,7:00 PM,7:30 PM,4,,vs,13,
44,4-Jan-26,Sunday,30 mins,7:00 PM,7:30 PM,8:00 PM,5,,vs,12,
45,4-Jan-26,Sunday,30 mins,7:30 PM,8:00 PM,8:30 PM,6,,vs,11,
46,4-Jan-26,Sunday,30 mins,8:00 PM,8:30 PM,9:00 PM,7,,vs,10,
47,4-Jan-26,Sunday,30 mins,8:30 PM,9:00 PM,9:30 PM,8,,vs,9,
Top 8,,,,,,,,,,,
48,4-Jan-26,Sunday,30 mins,9:00 PM,9:30 PM,10:00 PM,Q1,,vs,Q8,
49,4-Jan-26,Sunday,30 mins,9:30 PM,10:00 PM,10:30 PM,Q2,,vs,Q7,
50,4-Jan-26,Sunday,30 mins,10:00 PM,10:30 PM,11:00 PM,Q3,,Q6,Q6,
51,4-Jan-26,Sunday,30 mins,10:30 PM,11:00 PM,11:30 PM,Q4,,vs,Q5,
"Semi Finals, 3rd Position and Finals",,,,,,,,,,,
52,9-Jan-26,Friday,30 mins,5:00 PM,5:30 PM,6:00 PM,S1,,vs,S4,
53,9-Jan-26,Friday,30 mins,5:30 PM,6:00 PM,6:30 PM,S2,,vs,S3,
54,9-Jan-26,Friday,30 mins,6:00 PM,6:30 PM,7:00 PM,3RD,YTD,vs,3RD,YTD
55,9-Jan-26,Friday,30 mins,6:30 PM,7:00 PM,7:30 PM,F,YTD,vs,F,YTD
